transaction_id,timestamp,amount,merchant_id,customer_id,transaction_type,country,device_id,ip_address,merchant_category,hour_of_day,is_fraud
T0000029,2016-04-21 12:25:00,170.97393277275944,M0436,C0747,withdrawal,RU,D4898,10.0.253.132,retail,12,1
T0000030,2019-06-05 09:07:00,80.18838937463087,M0157,C0022,payment,US,D4435,10.0.175.169,retail,9,1
T0000031,2020-07-12 17:53:00,281.82695180285253,M0265,C0196,payment,CN,D3883,10.0.181.151,technology,17,1
T0000032,2024-01-01 18:45:00,205.15527493215714,M0343,C0087,withdrawal,RU,D4317,10.0.251.98,travel,18,1
T0000033,2023-03-12 23:18:00,18.377340100096074,M0436,C0852,payment,US,D3576,10.0.125.43,restaurant,23,1
T0000034,2022-05-06 13:34:00,37.27602191254887,M0135,C0731,payment,US,D4552,10.0.119.100,retail,13,1
T0000035,2020-03-24 15:06:00,83.81542285487741,M0350,C0650,withdrawal,US,D4075,10.0.18.89,retail,15,1
T0000036,2018-01-05 16:00:00,816.0671672516361,M0194,C0720,withdrawal,US,D4506,10.0.168.5,technology,16,1
T0000037,2022-10-18 08:49:00,709.6154932362756,M0395,C0503,withdrawal,US,D4516,10.0.213.65,technology,8,1
T0000038,2021-01-27 10:46:00,1423.2852935107962,M0250,C0082,payment,US,D4803,10.0.16.224,retail,10,1
T0000039,2018-03-25 15:35:00,2789.2796345275847,M0496,C0404,payment,US,D3251,10.0.238.209,retail,15,1
T0000040,2016-11-13 11:58:00,742.098639247294,M0379,C0155,withdrawal,CN,D4633,10.0.61.164,restaurant,11,1
T0000041,2021-05-08 17:50:00,99.6559036793336,M0091,C0081,payment,US,D3314,10.0.25.217,restaurant,17,1
T0000042,2017-05-16 19:28:00,555.9080455764074,M0039,C0071,withdrawal,RU,D3786,10.0.115.152,retail,19,1
T0000043,2018-04-23 13:39:00,230.0308409199241,M0453,C0121,payment,CN,D4622,10.0.128.99,restaurant,13,1
T0000044,2019-04-14 18:18:00,3490.2222342635873,M0083,C0969,payment,CN,D3378,10.0.93.154,retail,18,1
T0000045,2023-07-06 05:53:00,364.1805499583061,M0335,C0355,payment,CN,D3001,10.0.221.197,technology,5,1
T0000046,2018-11-20 10:13:00,262.2577607861032,M0090,C0930,payment,RU,D3445,10.0.198.51,technology,10,1
T0000047,2019-05-08 21:07:00,546.5230665252557,M0205,C0731,payment,CN,D3720,10.0.93.146,technology,21,1
T0000048,2024-02-21 21:28:00,2191.2255580863625,M0022,C0351,withdrawal,US,D4820,10.0.23.201,travel,21,1
T0000049,2020-12-20 23:35:00,2176.47022220709,M0416,C0881,withdrawal,RU,D4203,10.0.18.178,entertainment,23,1
T0000050,2019-01-03 13:11:00,481.04174375198716,M0133,C0338,payment,CN,D4430,10.0.65.233,technology,13,1
T0000051,2021-03-12 12:31:00,55.15767816745384,M0139,C0797,withdrawal,CN,D4497,10.0.95.253,retail,12,1
T0000052,2016-12-21 07:21:00,382.0637177611974,M0107,C0390,withdrawal,US,D3285,10.0.198.118,entertainment,7,1
T0000053,2022-04-21 23:22:00,90.03813865522349,M0408,C0975,payment,RU,D4320,10.0.111.180,restaurant,23,1
T0000054,2024-08-25 14:33:00,968.7564903130808,M0221,C0434,withdrawal,CN,D3556,10.0.175.224,entertainment,14,1
T0000055,2017-01-03 06:27:00,296.9631960540395,M0235,C0234,payment,US,D4311,10.0.106.9,technology,6,1
T0000056,2023-05-21 20:38:00,801.9812280793022,M0412,C0361,withdrawal,US,D3527,10.0.96.239,retail,20,1
T0000057,2015-06-17 07:14:00,422.86830233278795,M0336,C0048,withdrawal,RU,D3674,10.0.5.148,travel,7,1
T0000058,2021-06-08 12:00:00,62.088914889539424,M0378,C0929,payment,RU,D4838,10.0.48.223,retail,12,1
T0000059,2021-06-19 13:50:00,1311.3927822091334,M0404,C0123,payment,RU,D3829,10.0.57.59,retail,13,1
T0000060,2017-02-12 07:58:00,774.9344297109811,M0130,C0132,payment,RU,D3828,10.0.119.117,technology,7,1
T0000061,2021-06-25 05:03:00,110.44837730628245,M0059,C0263,payment,US,D3942,10.0.28.5,technology,5,1
T0000062,2024-11-16 00:49:00,354.1264278538214,M0184,C0771,payment,RU,D3355,10.0.15.147,technology,0,1
T0000063,2015-10-08 08:27:00,826.6567095177535,M0272,C0645,payment,CN,D3093,10.0.34.189,travel,8,1
T0000064,2020-11-11 09:59:00,118.18691638030194,M0189,C0991,payment,RU,D4650,10.0.231.43,retail,9,1
T0000065,2019-04-10 16:55:00,163.63336094170296,M0357,C0171,payment,US,D3625,10.0.32.240,travel,16,1
T0000066,2023-01-19 13:02:00,612.3536118841906,M0272,C0897,withdrawal,US,D3739,10.0.58.156,restaurant,13,1
T0000067,2023-03-05 03:34:00,5.443892205119346,M0145,C0554,payment,RU,D4446,10.0.128.248,travel,3,1
T0000068,2018-06-13 12:09:00,310.1043931850947,M0155,C0488,payment,US,D4907,10.0.152.141,entertainment,12,1
T0000069,2021-05-19 18:20:00,544.4567588851723,M0032,C0820,payment,US,D4117,10.0.105.221,retail,18,1
T0000070,2022-09-26 09:41:00,4.843540466380515,M0264,C0403,payment,CN,D3716,10.0.142.111,retail,9,1
T0000071,2023-07-08 02:12:00,85.92889682287112,M0320,C0419,withdrawal,RU,D3186,10.0.89.22,travel,2,1
T0000072,2024-02-24 05:38:00,414.3790559426155,M0066,C0219,payment,CN,D3659,10.0.221.30,travel,5,1
T0000073,2018-06-05 16:11:00,110.70424270855399,M0365,C0180,payment,RU,D3903,10.0.168.149,restaurant,16,1
T0000074,2019-05-22 19:16:00,95.48247911509023,M0364,C0053,payment,CN,D3822,10.0.19.147,retail,19,1
T0000075,2019-11-14 10:52:00,720.9513037897113,M0324,C0746,payment,CN,D3798,10.0.124.60,retail,10,1
T0000076,2020-07-03 19:32:00,39.72388386667428,M0359,C0190,payment,US,D4454,10.0.169.125,restaurant,19,1
T0000077,2024-09-03 13:08:00,310.36111416536573,M0229,C0373,payment,US,D3856,10.0.125.145,restaurant,13,1
T0000078,2020-11-20 18:50:00,45.86884488221724,M0039,C0724,withdrawal,RU,D4066,10.0.187.162,restaurant,18,1
T0000079,2016-04-22 17:05:00,781.2099804663012,M0215,C0403,withdrawal,US,D4647,10.0.84.230,travel,17,1
T0000080,2017-10-18 03:09:00,16.860840952672643,M0382,C0867,payment,US,D3780,10.0.126.89,technology,3,1
T0000081,2016-12-22 13:05:00,364.2415347757259,M0277,C0447,payment,RU,D3365,10.0.28.114,restaurant,13,1
T0000082,2016-01-06 11:24:00,944.4578591987143,M0020,C0259,withdrawal,US,D3696,10.0.222.80,retail,11,1
T0000083,2018-04-05 05:28:00,780.7786743007605,M0399,C0245,withdrawal,CN,D3249,10.0.154.102,entertainment,5,1
T0000084,2023-03-12 01:42:00,838.1892707230357,M0331,C0430,withdrawal,CN,D4388,10.0.126.173,technology,1,1
T0000085,2019-03-25 15:08:00,50.34821918886917,M0099,C0854,payment,CN,D4041,10.0.28.35,retail,15,1
T0000086,2024-09-12 19:23:00,40.14518329448507,M0490,C0346,payment,RU,D3196,10.0.185.29,entertainment,19,1
T0000087,2017-01-15 22:04:00,760.2855726691669,M0143,C0997,withdrawal,CN,D4954,10.0.42.179,travel,22,1
T0000088,2023-10-04 19:03:00,31.20983363390897,M0123,C0969,payment,RU,D4229,10.0.84.50,retail,19,1
T0000089,2019-02-11 16:55:00,1490.1458760442283,M0328,C0656,payment,CN,D3401,10.0.4.133,retail,16,1
T0000090,2023-09-09 14:19:00,2644.3893950178453,M0383,C0033,payment,CN,D4454,10.0.14.131,retail,14,1
T0000091,2015-04-14 16:43:00,849.8789834739273,M0059,C0569,payment,RU,D4582,10.0.136.162,technology,16,1
T0000092,2023-06-07 10:45:00,201.88598766256996,M0460,C0933,withdrawal,CN,D4227,10.0.56.191,retail,10,1
T0000093,2021-08-19 17:02:00,416.1650712721229,M0401,C0593,payment,RU,D3808,10.0.153.60,retail,17,1
T0000094,2016-02-26 01:03:00,8.249623002169578,M0085,C0861,withdrawal,US,D4309,10.0.53.155,entertainment,1,1
T0000095,2017-02-21 13:25:00,259.8106874775735,M0162,C0012,payment,RU,D3261,10.0.213.242,retail,13,1
T0000096,2024-01-10 16:10:00,274.6313283853475,M0043,C0341,withdrawal,US,D3093,10.0.162.217,restaurant,16,1
T0000097,2016-06-20 18:49:00,228.86762959597868,M0382,C0206,withdrawal,CN,D3263,10.0.49.147,restaurant,18,1
T0000098,2023-10-25 14:54:00,880.3629022741713,M0066,C0378,payment,US,D3846,10.0.240.79,restaurant,14,1
T0000099,2016-02-16 10:10:00,194.40112391210852,M0055,C0438,withdrawal,US,D4956,10.0.34.27,technology,10,1
T0000100,2020-01-19 10:06:00,434.8538662544443,M0321,C0876,payment,US,D3951,10.0.149.82,entertainment,10,1
T0000101,2023-01-02 20:55:00,738.258392090455,M0300,C0835,withdrawal,CN,D3250,10.0.40.199,restaurant,20,1
T0000102,2017-12-15 13:00:00,341.71985278761315,M0118,C0974,payment,US,D4992,10.0.209.187,retail,13,1
T0000103,2020-09-23 19:42:00,2676.207153871359,M0327,C0551,withdrawal,RU,D4541,10.0.110.48,entertainment,19,1
T0000104,2020-10-26 13:28:00,248.33078471955628,M0142,C0455,withdrawal,CN,D4311,10.0.154.187,retail,13,1
T0000105,2015-08-13 21:43:00,53.96924961348784,M0330,C0866,withdrawal,US,D4665,10.0.55.34,restaurant,21,1
T0000106,2024-11-06 23:02:00,209.64497835017045,M0132,C0432,withdrawal,US,D4989,10.0.164.118,restaurant,23,1
T0000107,2020-04-06 16:28:00,818.4762515092149,M0001,C0084,withdrawal,RU,D4880,10.0.63.211,travel,16,1
T0000108,2015-01-02 16:34:00,903.7716647655291,M0129,C0898,withdrawal,RU,D4916,10.0.34.139,travel,16,1
T0000109,2017-01-11 03:26:00,1738.125403354582,M0444,C1000,payment,CN,D3195,10.0.203.235,entertainment,3,1
T0000110,2023-02-21 11:59:00,226.75307439419134,M0405,C0859,payment,RU,D3275,10.0.227.115,restaurant,11,1
T0000111,2017-03-06 16:45:00,109.80468143797864,M0086,C0458,payment,RU,D3041,10.0.254.185,entertainment,16,1
T0000112,2017-05-07 01:59:00,20.099823872487374,M0361,C0247,withdrawal,RU,D3385,10.0.90.134,technology,1,1
T0000113,2016-08-23 19:02:00,139.3519601739304,M0430,C0512,payment,RU,D4591,10.0.151.115,retail,19,1
T0000114,2023-10-14 14:50:00,275.1930119241189,M0010,C0614,withdrawal,RU,D3179,10.0.96.15,retail,14,1
T0000115,2021-06-05 03:27:00,52.55614164055083,M0031,C0913,withdrawal,CN,D4404,10.0.58.17,travel,3,1
T0000116,2024-08-24 07:52:00,412.54940768449586,M0032,C1000,payment,CN,D3674,10.0.123.181,technology,7,1
T0000117,2015-03-07 07:29:00,3607.3769853747553,M0416,C0388,payment,CN,D4950,10.0.93.54,technology,7,1
T0000118,2016-03-10 00:05:00,225.74680937945294,M0224,C0708,withdrawal,CN,D3840,10.0.198.159,entertainment,0,1
T0000119,2017-03-17 05:20:00,541.1121454786504,M0107,C0076,withdrawal,US,D3152,10.0.145.70,travel,5,1
T0000120,2022-02-22 20:58:00,916.095650043652,M0279,C0339,withdrawal,US,D3345,10.0.152.136,entertainment,20,1
T0000121,2021-03-11 17:23:00,131.83388038006427,M0208,C0465,withdrawal,RU,D3159,10.0.251.143,restaurant,17,1
T0000122,2019-06-08 14:52:00,773.344538632626,M0328,C0801,withdrawal,US,D4537,10.0.64.190,restaurant,14,1
T0000123,2020-04-27 21:51:00,114.52065476340866,M0317,C0803,payment,US,D3147,10.0.38.220,restaurant,21,1
T0000124,2021-07-16 23:57:00,2001.841446456948,M0132,C0579,withdrawal,RU,D4567,10.0.111.57,restaurant,23,1
T0000125,2015-10-04 23:25:00,1171.9987328298876,M0068,C0015,payment,US,D4831,10.0.213.109,restaurant,23,1
T0000126,2022-09-17 23:35:00,230.53128034047046,M0331,C0012,withdrawal,CN,D3182,10.0.70.163,technology,23,1
T0000127,2019-01-24 23:27:00,71.87385558581781,M0276,C0557,withdrawal,US,D4461,10.0.173.151,restaurant,23,1
T0000128,2020-03-12 21:07:00,60.63295797417289,M0395,C0362,withdrawal,CN,D4469,10.0.24.170,travel,21,1
T0000129,2023-04-23 22:48:00,105.2912508128042,M0067,C0794,withdrawal,US,D4259,10.0.185.61,travel,22,1
T0000130,2018-05-16 19:57:00,84.97320913639568,M0337,C0089,payment,CN,D4562,10.0.231.28,retail,19,1
T0000131,2017-03-05 01:37:00,61.98653531451015,M0232,C0561,payment,US,D4373,10.0.49.120,entertainment,1,1
T0000132,2017-03-22 14:01:00,306.37663820425564,M0128,C0266,withdrawal,CN,D4584,10.0.242.119,restaurant,14,1
T0000133,2022-11-26 22:13:00,439.03141147697806,M0486,C0191,withdrawal,CN,D4617,10.0.138.7,restaurant,22,1
T0000134,2015-03-24 14:36:00,243.16962782787135,M0022,C0476,payment,RU,D4125,10.0.89.27,travel,14,1
T0000135,2018-04-15 13:14:00,30.8322732722964,M0265,C0543,payment,RU,D3785,10.0.247.212,restaurant,13,1
T0000136,2020-02-26 17:01:00,90.52737556994049,M0154,C0632,withdrawal,US,D3734,10.0.74.220,retail,17,1
T0000137,2017-03-15 06:02:00,239.67283198582444,M0170,C0817,payment,CN,D4387,10.0.201.241,travel,6,1
T0000138,2017-08-27 15:26:00,6.860792248381974,M0153,C0239,payment,US,D3683,10.0.78.26,technology,15,1
T0000139,2024-03-15 16:48:00,1739.1245184766678,M0112,C0432,withdrawal,US,D3481,10.0.116.113,entertainment,16,1
T0000140,2016-03-26 07:24:00,205.07834150173636,M0088,C0618,payment,RU,D4935,10.0.56.118,technology,7,1
T0000141,2016-09-09 14:16:00,31.64398697932657,M0082,C0036,withdrawal,CN,D4935,10.0.155.103,restaurant,14,1
T0000142,2024-08-01 11:02:00,76.5326929625415,M0261,C0469,payment,US,D4207,10.0.59.36,travel,11,1
T0000143,2018-02-28 10:32:00,101.70455517114506,M0329,C0546,withdrawal,RU,D3570,10.0.39.84,retail,10,1
T0000144,2015-09-10 11:46:00,2249.0907153185576,M0381,C0533,payment,RU,D4408,10.0.230.194,restaurant,11,1
T0000145,2021-06-27 20:04:00,951.0668249072265,M0384,C0966,withdrawal,CN,D4192,10.0.61.80,restaurant,20,1
T0000146,2024-01-13 18:38:00,26.18894458040034,M0091,C0674,payment,US,D4678,10.0.233.216,retail,18,1
T0000147,2019-01-22 00:42:00,248.17546633261142,M0085,C0844,payment,US,D4895,10.0.134.16,entertainment,0,1
T0000148,2016-02-05 08:25:00,292.0321157259784,M0463,C0184,payment,RU,D4092,10.0.158.33,entertainment,8,1
T0000149,2018-01-13 17:02:00,61.527091950325584,M0274,C0571,withdrawal,RU,D3916,10.0.40.225,entertainment,17,1
T0000150,2016-09-19 20:46:00,293.0269029362917,M0349,C0786,payment,US,D4587,10.0.46.142,restaurant,20,1
T0000151,2022-01-15 15:45:00,27.468725489907776,M0117,C0185,withdrawal,CN,D4424,10.0.195.22,travel,15,1
T0000152,2019-08-25 09:21:00,413.46851844118834,M0228,C0923,payment,US,D3166,10.0.195.46,retail,9,1
T0000153,2024-03-11 12:21:00,462.2593194360004,M0089,C0094,payment,CN,D3145,10.0.227.198,retail,12,1
T0000154,2018-06-06 18:19:00,1119.3274448713132,M0030,C0243,payment,RU,D4582,10.0.0.108,technology,18,1
T0000155,2020-05-17 06:23:00,460.7599349384035,M0161,C0407,withdrawal,CN,D3055,10.0.166.191,entertainment,6,1
T0000156,2023-09-23 01:29:00,549.2665238040643,M0140,C0090,payment,RU,D3302,10.0.66.221,technology,1,1
T0000157,2023-09-14 10:37:00,0.29077832030081596,M0194,C0062,payment,CN,D3633,10.0.149.33,entertainment,10,1
T0000158,2015-11-20 15:57:00,17.993167391912507,M0021,C0145,payment,US,D3231,10.0.31.111,travel,15,1
T0000159,2021-07-18 00:13:00,1219.060723700548,M0111,C0565,withdrawal,CN,D4843,10.0.212.59,travel,0,1
T0000160,2022-04-18 10:49:00,474.1213589201895,M0469,C0515,payment,CN,D4582,10.0.202.233,retail,10,1
T0000161,2019-04-18 10:30:00,44.830664198989446,M0075,C0063,withdrawal,CN,D4813,10.0.42.146,entertainment,10,1
T0000162,2023-07-04 09:44:00,428.168544110138,M0062,C0982,payment,RU,D4266,10.0.15.220,entertainment,9,1
T0000163,2019-06-19 11:46:00,211.91971844355183,M0050,C0241,payment,CN,D4388,10.0.127.222,retail,11,1
T0000164,2021-06-07 00:04:00,2886.872099255799,M0335,C0237,withdrawal,US,D3330,10.0.19.138,technology,0,1
T0000165,2017-12-25 00:54:00,177.27369471689425,M0032,C0041,payment,CN,D3215,10.0.99.94,travel,0,1
T0000166,2024-09-08 18:02:00,122.45466814188876,M0424,C0988,payment,RU,D4859,10.0.119.177,retail,18,1
T0000167,2018-11-14 09:01:00,74.91473237375884,M0290,C0748,payment,US,D4184,10.0.162.141,technology,9,1
T0000168,2024-07-24 01:37:00,150.49776325196177,M0499,C0264,withdrawal,CN,D3438,10.0.248.254,entertainment,1,1
T0000169,2019-09-24 11:49:00,2006.921105465178,M0407,C0765,payment,CN,D3380,10.0.167.202,restaurant,11,1
T0000170,2020-03-11 13:31:00,430.1284811295489,M0492,C0777,withdrawal,RU,D3395,10.0.198.253,restaurant,13,1
T0000171,2017-11-20 05:26:00,221.53532733457035,M0471,C0647,withdrawal,US,D4763,10.0.0.31,entertainment,5,1
T0000172,2024-01-07 11:04:00,914.980042434305,M0105,C0978,withdrawal,RU,D4585,10.0.212.215,restaurant,11,1
T0000173,2018-11-18 19:36:00,135.66507768422687,M0432,C0160,withdrawal,RU,D3807,10.0.156.55,retail,19,1
T0000174,2019-02-12 14:20:00,946.3086297636341,M0016,C0160,payment,RU,D3839,10.0.154.121,entertainment,14,1
T0000175,2020-05-28 18:58:00,578.3650867033388,M0219,C0801,payment,CN,D4738,10.0.65.99,retail,18,1
T0000176,2015-05-10 01:24:00,334.62717187863353,M0197,C0038,withdrawal,CN,D3582,10.0.61.252,entertainment,1,1
T0000177,2020-07-16 17:15:00,107.92564524437172,M0488,C0860,payment,CN,D4160,10.0.29.44,restaurant,17,1
T0000178,2020-05-03 01:27:00,4893.367233880898,M0267,C0644,withdrawal,CN,D4217,10.0.140.112,technology,1,1
T0000179,2021-08-27 12:41:00,182.33427169236055,M0391,C0151,payment,US,D3007,10.0.220.183,entertainment,12,1
T0000180,2022-02-04 15:07:00,2895.474513176509,M0188,C0638,withdrawal,US,D4171,10.0.58.147,retail,15,1
T0000181,2021-07-07 15:07:00,331.26926312559493,M0045,C0792,payment,RU,D4556,10.0.114.230,restaurant,15,1
T0000182,2015-06-23 16:59:00,32.78102659961986,M0372,C0413,withdrawal,US,D3470,10.0.104.22,restaurant,16,1
T0000183,2020-10-11 16:44:00,159.8990933579133,M0435,C0087,withdrawal,US,D4141,10.0.15.204,retail,16,1
T0000184,2020-08-16 17:01:00,25.80270583714572,M0002,C0018,payment,CN,D3426,10.0.1.7,technology,17,1
T0000185,2017-10-12 15:38:00,431.0140350422387,M0418,C0382,withdrawal,US,D3907,10.0.130.28,restaurant,15,1
T0000186,2018-12-26 20:36:00,833.7136214239459,M0205,C0081,payment,RU,D3691,10.0.29.214,restaurant,20,1
T0000187,2021-03-14 03:23:00,364.92982121415184,M0238,C0546,withdrawal,CN,D4373,10.0.96.105,technology,3,1
T0000188,2020-11-26 19:12:00,227.7691332324801,M0010,C0967,payment,RU,D4769,10.0.206.88,retail,19,1
T0000189,2020-04-05 01:33:00,25.016676844437804,M0427,C0471,withdrawal,CN,D4651,10.0.191.84,entertainment,1,1
T0000190,2017-09-22 20:25:00,3.958653293342965,M0010,C0088,payment,US,D3554,10.0.75.47,retail,20,1
T0000191,2023-09-27 15:30:00,5767.880272630713,M0101,C0357,withdrawal,CN,D3633,10.0.133.147,restaurant,15,1
T0000192,2015-11-15 14:23:00,60.666127309473794,M0091,C0219,payment,US,D3380,10.0.113.76,retail,14,1
T0000193,2021-10-26 12:56:00,812.5249528981734,M0416,C0303,payment,RU,D4011,10.0.242.100,restaurant,12,1
T0000194,2020-11-06 10:21:00,1561.9461181759143,M0469,C0187,payment,CN,D4465,10.0.18.116,technology,10,1
T0000195,2018-01-17 17:17:00,182.68020568811394,M0100,C0262,withdrawal,RU,D4839,10.0.106.49,retail,17,1
T0000196,2024-03-21 17:51:00,478.4948140232701,M0027,C0136,withdrawal,CN,D3678,10.0.110.20,restaurant,17,1
T0000197,2018-06-25 09:24:00,1128.312781952516,M0456,C0682,withdrawal,US,D3784,10.0.48.5,travel,9,1
T0000198,2018-07-17 20:01:00,374.15829116263507,M0497,C0712,payment,US,D4155,10.0.97.145,restaurant,20,1
T0000199,2021-01-27 15:13:00,490.0782926590073,M0089,C0598,withdrawal,RU,D3620,10.0.33.234,retail,15,1
T0000200,2020-11-01 19:13:00,910.0253136952936,M0186,C0372,payment,CN,D3056,10.0.72.84,restaurant,19,1
T0000201,2019-12-03 02:26:00,218.53,M0003,C0851,payment,UK,D1389,192.168.229.216,travel,2,0
T0000202,2021-08-28 00:22:00,431.14,M0191,C0842,transfer,ES,D2590,192.168.128.75,entertainment,0,0
T0000203,2016-04-01 14:42:00,30.65,M0179,C0943,transfer,JP,D0970,192.168.33.127,retail,14,0
T0000204,2017-08-27 12:25:00,423.52,M0332,C0182,transfer,JP,D0052,192.168.154.45,retail,12,0
T0000205,2017-03-12 19:57:00,105.45,M0123,C0550,withdrawal,UK,D0426,192.168.46.190,retail,19,0
T0000206,2019-12-12 15:18:00,109.25,M0313,C0787,payment,UK,D0811,192.168.44.95,restaurant,15,0
T0000207,2019-03-01 00:23:00,0.12,M0470,C0136,withdrawal,DE,D0346,192.168.89.46,technology,0,0
T0000208,2023-04-12 18:21:00,316.77,M0272,C0101,payment,CN,D1564,192.168.192.240,technology,18,0
T0000209,2022-12-25 13:09:00,556.24,M0384,C0650,deposit,DE,D0888,192.168.86.245,entertainment,13,0
T0000210,2019-08-01 21:34:00,482.22,M0430,C0505,deposit,IT,D1797,192.168.101.79,restaurant,21,0
T0000211,2024-04-20 12:26:00,565.6,M0061,C0881,withdrawal,US,D0112,192.168.188.194,restaurant,12,0
T0000212,2021-07-12 09:41:00,248.34,M0248,C0366,deposit,ES,D0949,192.168.62.76,retail,9,0
T0000213,2016-09-24 20:11:00,218.65,M0181,C0241,transfer,DE,D0346,192.168.85.16,restaurant,20,0
T0000214,2019-03-11 19:04:00,71.59,M0402,C0387,transfer,FR,D0746,192.168.117.240,travel,19,0
T0000215,2022-03-24 06:54:00,76.89,M0196,C0656,transfer,IT,D2762,192.168.223.133,entertainment,6,0
T0000216,2016-10-26 23:38:00,58.47,M0192,C0861,withdrawal,IT,D0080,192.168.5.197,entertainment,23,0
T0000217,2024-05-20 14:21:00,6.52,M0256,C0732,payment,JP,D0298,192.168.247.37,retail,14,0
T0000218,2019-12-12 23:28:00,129.13,M0145,C0419,withdrawal,CN,D0909,192.168.173.218,entertainment,23,0
T0000219,2023-11-02 22:48:00,124.7,M0195,C0461,payment,FR,D2578,192.168.230.226,entertainment,22,0
T0000220,2024-02-05 18:10:00,420.92,M0112,C0843,transfer,IT,D0586,192.168.53.149,retail,18,0
T0000221,2016-02-14 07:08:00,205.51,M0239,C0225,withdrawal,JP,D2976,192.168.122.125,technology,7,0
T0000222,2021-11-01 05:38:00,955.2,M0465,C0126,deposit,CN,D1249,192.168.81.143,entertainment,5,0
T0000223,2018-09-17 22:48:00,89.25,M0139,C0158,payment,UK,D0993,192.168.80.74,travel,22,0
T0000224,2022-03-25 10:25:00,788.24,M0278,C0956,deposit,ES,D2525,192.168.135.207,retail,10,0
T0000225,2023-10-01 16:34:00,269.86,M0054,C0741,deposit,ES,D2365,192.168.118.79,retail,16,0
T0000226,2020-10-18 14:06:00,5.98,M0092,C0074,transfer,IT,D1827,192.168.28.143,entertainment,14,0
T0000227,2018-11-13 08:38:00,20.89,M0113,C0518,deposit,UK,D1206,192.168.214.21,travel,8,0
T0000228,2022-11-07 06:29:00,254.44,M0498,C0733,withdrawal,DE,D1211,192.168.44.131,technology,6,0
T0000229,2024-02-08 22:30:00,610.59,M0222,C0619,payment,US,D2574,192.168.249.226,travel,22,0
